time,Open,High,Low,Close,Volume
2026-02-18 05:00:00+00:00,4953.5,4959.10009765625,4949.2001953125,4952.39990234375,0.0
2026-02-18 06:00:00+00:00,4952.7001953125,4955.2998046875,4944.2001953125,4949.7001953125,1448.0
2026-02-18 07:00:00+00:00,4949.60009765625,4962.2001953125,4948.60009765625,4949.5,2058.0
2026-02-18 08:00:00+00:00,4950.2001953125,4953.2001953125,4936.2998046875,4937.7001953125,3508.0
2026-02-18 09:00:00+00:00,4937.5,4943.5,4933.10009765625,4937.89990234375,3167.0
2026-02-18 10:00:00+00:00,4937.39990234375,4945.39990234375,4929.2998046875,4935.0,3836.0
2026-02-18 11:00:00+00:00,4934.5,4938.2001953125,4925.89990234375,4933.39990234375,2167.0
2026-02-18 12:00:00+00:00,4932.7001953125,4967.5,4931.89990234375,4963.5,6203.0
2026-02-18 13:00:00+00:00,4963.2998046875,4989.7998046875,4962.89990234375,4974.2001953125,10511.0
2026-02-18 14:00:00+00:00,4975.0,5015.5,4972.60009765625,5012.2998046875,10946.0
2026-02-18 15:00:00+00:00,5012.10009765625,5029.60009765625,5011.7001953125,5018.7998046875,11786.0
2026-02-18 16:00:00+00:00,5018.89990234375,5031.89990234375,5011.5,5021.2001953125,6278.0
2026-02-18 17:00:00+00:00,5021.39990234375,5022.7998046875,5014.2001953125,5020.10009765625,4022.0
2026-02-18 18:00:00+00:00,5020.2001953125,5024.2001953125,5001.2001953125,5008.2001953125,6113.0
2026-02-18 19:00:00+00:00,5007.60009765625,5016.39990234375,4993.7001953125,5000.7001953125,5046.0
2026-02-18 20:00:00+00:00,5000.7001953125,5008.39990234375,4995.89990234375,5005.2998046875,2738.0
2026-02-18 21:00:00+00:00,5004.89990234375,5006.7001953125,4995.60009765625,4996.10009765625,846.0
2026-02-18 23:00:00+00:00,4993.7001953125,5007.7998046875,4971.5,4994.7998046875,0.0
2026-02-19 00:00:00+00:00,4994.60009765625,4994.7998046875,4978.5,4980.2001953125,1684.0
2026-02-19 01:00:00+00:00,4980.2001953125,4995.0,4979.10009765625,4992.10009765625,1184.0
2026-02-19 02:00:00+00:00,4992.7001953125,4996.2001953125,4984.89990234375,4986.89990234375,1039.0
2026-02-19 03:00:00+00:00,4986.89990234375,5002.60009765625,4985.2001953125,5000.39990234375,1638.0
2026-02-19 04:00:00+00:00,5000.0,5004.7001953125,4995.2998046875,5002.7998046875,1162.0
2026-02-19 05:00:00+00:00,5002.5,5017.60009765625,5002.5,5015.5,1530.0
2026-02-19 06:00:00+00:00,5015.10009765625,5038.0,5014.39990234375,5035.39990234375,2594.0
2026-02-19 07:00:00+00:00,5036.5,5039.7998046875,5026.89990234375,5028.0,2242.0
2026-02-19 08:00:00+00:00,5028.0,5040.89990234375,5023.89990234375,5035.5,2642.0
2026-02-19 09:00:00+00:00,5035.7998046875,5039.10009765625,5012.0,5014.39990234375,4046.0
2026-02-19 10:00:00+00:00,5014.39990234375,5015.2001953125,5000.7001953125,5013.0,4185.0
2026-02-19 11:00:00+00:00,5013.0,5016.7998046875,4997.10009765625,5003.2998046875,3820.0
2026-02-19 12:00:00+00:00,5003.7998046875,5012.0,4999.7998046875,5004.39990234375,2918.0
2026-02-19 13:00:00+00:00,5005.10009765625,5018.5,4990.10009765625,5016.60009765625,5679.0
2026-02-19 14:00:00+00:00,5016.5,5029.60009765625,4982.0,5024.60009765625,10993.0
2026-02-19 15:00:00+00:00,5025.2001953125,5042.7998046875,5014.7001953125,5033.39990234375,11551.0
